UF_alag,Município,Registro,Protocolo,COBRADE,Status,População,DH_Mortos,DH_Feridos,DH_Enfermos,DH_Desabrigados,DH_Desalojados,DH_Desaparecidos,DH_Outros Afetados,DM_Unidades Habitacionais Danificadas,DM_Unidades Habitacionais Destruídas,DM_Unidades Habitacionais Valor,DM_Instalações públicas de saúde Danificadas,DM_Instalações públicas de saúde Destruídas,DM_Instalações públicas de saúde Valor,DM_Instalações públicas de ensino Danificadas,DM_Instalações públicas de ensino Destruídas,DM_Instalações públicas de ensino Valor,DM_Instalações públicas prestadoras de outros serviços Danificadas,DM_Instalações públicas prestadoras de outros serviços Destruídas,DM_Instalações públicas prestadoras de outros serviços Valor,DM_Instalações públicas de uso comunitário Danificadas,DM_Instalações públicas de uso comunitário Destruídas,DM_Instalações públicas de uso comunitário Valor,DM_Obras de infraestrutura pública Danificadas,DM_Obras de infraestrutura pública Destruídas,DM_Obras de infraestrutura pública Valor,DA_Poluição ou contaminação da água,DA_Poluição ou contaminação do ar,DA_Poluição ou contaminação do solo,DA_Diminuição ou exaurimento hídrico,"DA_Incêndios em parques, APA's ou APP's","PEPL_Assistência médica, saúde pública e atendimento de emergências médicas (R$)",PEPL_Abastecimento de água potável (R$),PEPL_Esgoto de águas pluviais e sistema de esgotos sanitários (R$),PEPL_Sistema de limpeza urbana e de recolhimento e destinação do lixo (R$),PEPL_Sistema de desinfestação/desinfecção do habitat/controle de pragas e vetores (R$),PEPL_Geração e distribuição de energia elétrica (R$),PEPL_Telecomunicações (R$),"PEPL_Transportes locais, regionais e de longo curso (R$)","PEPL_Distribuição de combustíveis, especialmente os de uso doméstico (R$)",PEPL_Segurança pública (R$),PEPL_Ensino (R$),PEPR_Agricultura (R$),PEPR_Pecuária (R$),PEPR_Indústria (R$),PEPR_Comércio (R$),PEPR_Serviços (R$),Date,Municipio,UF_chuva,precipitacao_diaria
RJ,Arraial do Cabo,28/11/2022,RJ-F-3300258-12300-20221126,12300 - Alagamentos,Registro,27770,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-11-28,ARRAIAL DO CABO,RJ,3.0
RJ,Duque de Caxias,11/04/2022,RJ-F-3301702-12300-20220402,12300 - Alagamentos,Registro,855046,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-04-11,DUQUE DE CAXIAS,RJ,0.0
RJ,Saquarema,03/04/2022,RJ-F-3305505-12300-20220401,12300 - Alagamentos,Registro,74221,0,1,0,0,24,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,DE 0% A 5%,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-04-03,SAQUAREMA,RJ,1.4000000000000001
RJ,Maricá,03/04/2022,RJ-F-3302700-12300-20220401,12300 - Alagamentos,Registro,127519,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-04-03,MARICÁ,,
SP,São Miguel Arcanjo,16/03/2022,SP-F-3550209-12300-20220303,12300 - Alagamentos,Registro,31452,0,0,0,0,0,0,0,18,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-03-16,SÃO MIGUEL ARCANJO,,
RJ,Vassouras,10/02/2022,RJ-F-3306206-12300-20220207,12300 - Alagamentos,Registro,34439,0,0,0,0,3,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-02-10,VASSOURAS,,
SP,Rafard,04/02/2022,SP-F-3542107-12300-20220130,12300 - Alagamentos,Registro,8624,0,0,0,7,93,0,0,100,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,DE 0% A 5%,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-02-04,RAFARD,,
SP,Monte Mor,31/01/2022,SP-F-3531803-12300-20220130,12300 - Alagamentos,Registro,48971,0,0,0,20,150,0,10000,200,0,2000000.0,0,0,0.0,0,0,0.0,1,0,50000.0,8,3,150000.0,5,1,6000000.0,,,,,,0.0,0.0,0.0,1500000.0,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-31,MONTE MOR,,
RJ,Cantagalo,10/02/2022,RJ-F-3301108-12300-20220112,12300 - Alagamentos,Registro,19826,0,0,0,0,2,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,MAIS DE 20%,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-02-10,CANTAGALO,,
RJ,Vassouras,11/02/2022,RJ-F-3306206-12300-20220108,12300 - Alagamentos,Registro,34439,0,0,0,0,13,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-02-11,VASSOURAS,,
RJ,Arraial do Cabo,29/11/2023,RJ-F-3300258-12300-20231123,12300 - Alagamentos,Registro,27770,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-29,ARRAIAL DO CABO,RJ,0.0
SP,Valinhos,11/10/2023,SP-F-3556206-12300-20231008,12300 - Alagamentos,Registro,106968,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-11,VALINHOS,,
SP,Porto Ferreira,11/10/2023,SP-F-3540705-12300-20231001,12300 - Alagamentos,Registro,51407,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-11,PORTO FERREIRA,,
SP,Limeira,12/05/2023,SP-F-3526902-12300-20230414,12300 - Alagamentos,Registro,276010,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-05-12,LIMEIRA,,
RJ,Arraial do Cabo,03/04/2023,RJ-F-3300258-12300-20230403,12300 - Alagamentos,Registro,27770,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-04-03,ARRAIAL DO CABO,RJ,1.0
RJ,Duque de Caxias,31/03/2023,RJ-F-3301702-12300-20230330,12300 - Alagamentos,Registro,855046,2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-03-31,DUQUE DE CAXIAS,RJ,28.4
RJ,Vassouras,01/03/2023,RJ-F-3306206-12300-20230221,12300 - Alagamentos,Registro,34439,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,MAIS DE 20%,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-03-01,VASSOURAS,,
SP,Limeira,12/05/2023,SP-F-3526902-12300-20230218,12300 - Alagamentos,Registro,276010,0,0,0,0,10,0,0,0,0,20000.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,100000.0,0,0,20000000.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-05-12,LIMEIRA,,
